Date,Open,High,Low,Close,Volume,daily_return,log_return,vol_20d,cluster_regime,vol_z
2015-03-17,8689.099609375,8742.5498046875,8630.7998046875,8723.2998046875,177000,0.0104422383467797,0.010388094769848,0.1504152479766632,1.0,0.12176583186907952
2015-03-18,8742.900390625,8747.25,8664.0,8685.900390625,156400,-0.0042873012391942,-0.0042965180681336,0.1509745308908368,0.0,0.12855324739219698
2015-03-19,8749.4501953125,8788.2001953125,8614.650390625,8634.650390625,163500,-0.005900366996531,-0.0059178429387673,0.1493582443922674,0.0,0.10893811560079364
2015-03-20,8627.900390625,8627.900390625,8553.0,8570.900390625,174600,-0.0073830435647072,-0.007410433126336,0.1499384040233577,0.0,0.11597888939551444
2015-03-23,8591.5498046875,8608.349609375,8540.5498046875,8550.900390625,150700,-0.0023334771247459,-0.0023362039252688,0.1487447913221531,0.0,0.10149329512572111
2015-03-24,8537.0498046875,8627.75,8535.849609375,8542.9501953125,156700,-0.0009297494941253,-0.0009301819792756,0.1462147970410249,0.0,0.07078947417581472
2015-03-25,8568.900390625,8573.75,8516.5498046875,8530.7998046875,161000,-0.0014222710360253,-0.0014232834235154,0.1460159534047012,0.0,0.06837632271051207
2015-03-26,8474.9501953125,8499.4501953125,8325.349609375,8342.150390625,280100,-0.0221139187862363,-0.0223620971083219,0.1636609709952654,0.0,0.2825149335365587
2015-03-27,8396.0,8413.2001953125,8269.150390625,8341.400390625,193000,-8.990487642646094e-05,-8.990891811211022e-05,0.16167252169229,1.0,0.2583832618478394
2015-03-30,8390.9501953125,8492.2998046875,8380.75,8492.2998046875,134700,0.0180904173155502,0.017928732765285,0.1609874590934417,1.0,0.2500693934998304
2015-03-31,8527.599609375,8550.4501953125,8454.150390625,8491.0,167200,-0.0001530568535489,-0.0001530685679444,0.1517104896418586,0.0,0.13748478762785868
2015-04-01,8483.7001953125,8603.400390625,8464.75,8586.25,125500,0.0112177599811564,0.0111553075287278,0.1576638760484904,1.0,0.20973463879879412
2015-04-06,8615.7998046875,8667.5498046875,8573.75,8659.900390625,146900,0.0085777132770417,0.0085411337249402,0.1605642312656442,1.0,0.2449331323064187
2015-04-07,8684.4501953125,8693.599609375,8586.849609375,8660.2998046875,148700,4.612224673294918e-05,4.6121183134830896e-05,0.160237277983221,0.0,0.24096525177902475
2015-04-08,8698.9501953125,8730.5,8679.7998046875,8714.400390625,148200,0.0062469645575338,0.0062275331572998,0.1458857098397271,0.0,0.06679569656891504
2015-04-09,8756.2001953125,8785.5,8682.4501953125,8778.2998046875,152700,0.0073326231522761,0.0073058701712128,0.1470398617191086,0.0,0.08080239726300734
2015-04-10,8774.349609375,8787.400390625,8733.599609375,8780.349609375,139000,0.0002335081659441,0.0002334809071557,0.1468937297198198,0.0,0.07902895027354823
2015-04-13,8801.75,8841.650390625,8762.099609375,8834.0,121600,0.0061102795460121,0.0060916874846368,0.1452329471145715,0.0,0.05887381706687392
2015-04-16,8757.0498046875,8760.0,8645.650390625,8706.7001953125,142900,-0.0144102110807674,-0.0145150465251854,0.1449506817274068,0.0,0.05544826548657703
2015-04-17,8698.0498046875,8699.849609375,8596.7001953125,8606.0,150400,-0.0115658278169167,-0.0116332322327412,0.1509695081671495,0.0,0.12849229199402634
2015-04-20,8618.7998046875,8619.9501953125,8422.75,8448.099609375,148900,-0.0183477098100163,-0.0185181166395568,0.158851712523995,0.0,0.22415013322647243
2015-04-21,8416.099609375,8469.349609375,8352.7001953125,8377.75,407800,-0.0083272703481066,-0.0083621357545242,0.1604139678001243,0.0,0.24310954615246957
2015-04-22,8400.400390625,8449.9501953125,8284.7001953125,8429.7001953125,171800,0.0062009722553788,0.0061818253391529,0.1620419618255936,1.0,0.26286675961274564
2015-04-23,8478.2001953125,8504.9501953125,8361.849609375,8398.2998046875,156000,-0.003724971220502,-0.0037319262025762,0.1606928863096624,0.0,0.24649448027676904
2015-04-24,8405.7001953125,8413.2998046875,8273.349609375,8305.25,173600,-0.0110796002585623,-0.0111414361987288,0.1646426261201945,0.0,0.29442822654880274
2015-04-27,8330.5498046875,8334.4501953125,8202.349609375,8213.7998046875,171500,-0.0110111309487974,-0.0110722021738192,0.1681112426369568,0.0,0.33652309659217144
2015-04-28,8215.5498046875,8308.0,8185.14990234375,8285.599609375,174600,0.0087413628764758,0.0087033783611285,0.1723337003562577,1.0,0.3877665269623592
2015-04-29,8274.7998046875,8308.2001953125,8219.2001953125,8239.75,160400,-0.0055336501323479,-0.0055490174921902,0.1547183267641546,0.0,0.17398767347955155
2015-04-30,8224.5,8229.400390625,8144.75,8181.5,267700,-0.0070693892411783,-0.0070944957684806,0.1563903162558977,0.0,0.19427881262066973
2015-05-04,8230.0498046875,8346.0,8220.4501953125,8331.9501953125,131700,0.0183890723354518,0.0182220379751438,0.1568631111408593,1.0,0.20001661590432748
2015-05-05,8338.400390625,8355.650390625,8280.599609375,8324.7998046875,155500,-0.0008581893143123,-0.0008585577695799,0.1568353746829428,0.0,0.19968000833015045
2015-05-06,8316.599609375,8331.9501953125,8083.0,8097.0,209600,-0.0273639979377319,-0.0277453653883998,0.1764467687406572,0.0,0.4376824165638997
2015-05-07,8077.0,8122.60009765625,7997.14990234375,8057.2998046875,161600,-0.0049030746341237,-0.0049151341398104,0.1712284161210936,1.0,0.3743528803354192
2015-05-08,8131.5,8224.9501953125,8123.4501953125,8191.5,183100,0.0166557281676953,0.0165185427140141,0.1852942804521761,1.0,0.545055155494179
2015-05-11,8243.2001953125,8332.75,8224.650390625,8325.25,192000,0.016327900872856,0.0161960341674642,0.1948552723524958,1.0,0.6610866365139767
2015-05-12,8326.150390625,8326.650390625,8115.2998046875,8126.9501953125,173400,-0.023819081071139,-0.0241073419925435,0.2059392021612977,1.0,0.7956003778331973
2015-05-13,8181.5498046875,8254.9501953125,8089.7998046875,8235.4501953125,169800,0.0133506416789144,0.0132623072083406,0.2143892817371012,1.0,0.8981499101555536
2015-05-14,8232.4501953125,8236.25,8137.2998046875,8224.2001953125,134800,-0.0013660455388829,-0.0013669794296785,0.2117183975038598,1.0,0.8657362593077723
2015-05-15,8240.2998046875,8279.2001953125,8212.2001953125,8262.349609375,129800,0.004638677701966,0.0046279521918878,0.2094932116893599,1.0,0.838731571060726
2015-05-18,8284.9501953125,8384.599609375,8271.9501953125,8373.650390625,148700,0.0134708389879449,0.0133809139137836,0.2139864637997254,1.0,0.8932613418623946
2015-05-19,8356.2001953125,8427.7998046875,8335.0,8365.650390625,140300,-0.00095537783724,-0.0009558345015271,0.2041741895585253,1.0,0.7741803171895475
2015-05-20,8392.650390625,8440.349609375,8391.4501953125,8423.25,123600,0.0068852517957898,0.0068616566932103,0.2035398264494492,1.0,0.7664817340490305
2015-05-21,8434.5,8446.349609375,8382.5,8421.0,143800,-0.0002671177989493,-0.000267153481263,0.2023395767845232,1.0,0.7519155940850143
2015-05-22,8432.5,8489.5498046875,8420.599609375,8458.9501953125,187300,0.004506613859696,0.0044964894818342,0.2024626235881848,1.0,0.753408880870785
2015-05-25,8438.150390625,8441.9501953125,8364.150390625,8370.25,121300,-0.0104859578629098,-0.0105413228961067,0.2020212018729033,1.0,0.7480518200226632
2015-05-26,8377.099609375,8378.900390625,8320.0498046875,8339.349609375,116800,-0.0036916926764433,-0.0036985237912854,0.1981305514834139,1.0,0.7008351785351195
2015-05-27,8302.75,8342.849609375,8277.9501953125,8334.599609375,165500,-0.0005695887835976,-0.0005697510609127,0.1959206454214933,1.0,0.6740159242200202
2015-05-28,8345.7001953125,8364.5,8270.150390625,8319.0,232300,-0.0018716687190891,-0.0018734224796336,0.1948983090981845,1.0,0.6616089272336629
2015-05-29,8327.099609375,8443.900390625,8305.7001953125,8433.650390625,363900,0.0137817514875586,0.0136876467831972,0.1981222071849625,1.0,0.7007339127545936
2015-06-01,8417.25,8467.150390625,8405.400390625,8433.400390625,122200,-2.964315431874809e-05,-2.9643593685729908e-05,0.1880488540988738,1.0,0.5784844547903905
2015-06-02,8442.7998046875,8445.349609375,8226.0498046875,8236.4501953125,146800,-0.0233535924051987,-0.0236306089312696,0.2068343725338431,1.0,0.8064640983733237
2015-06-03,8232.4501953125,8236.7001953125,8094.14990234375,8135.10009765625,171400,-0.0123050701762186,-0.0123814043972364,0.1861840982197296,1.0,0.5558539172213497
2015-06-04,8155.14990234375,8160.0498046875,8056.75,8130.64990234375,154700,-0.0005470363313393,-0.0005471860103022,0.1852247892155046,1.0,0.5442118150549278
2015-06-05,8119.14990234375,8191.0,8100.14990234375,8114.7001953125,162100,-0.0019616767691168,-0.0019636033769903,0.1753167593020271,1.0,0.4239687067210728
2015-06-08,8124.35009765625,8131.0,8030.5498046875,8044.14990234375,135900,-0.0086941342588976,-0.0087321487398675,0.1659658695574704,0.0,0.3104870097145655
2015-06-09,8026.5,8057.14990234375,8005.14990234375,8022.39990234375,136000,-0.0027038282806817,-0.0027074902267056,0.1435445143540554,0.0,0.03838312364849798
2015-06-10,8024.14990234375,8152.25,8023.7998046875,8124.4501953125,136800,0.0127206689034458,0.0126404408480797,0.1427601067620749,0.0,0.028863611910638652
2015-06-11,8157.2998046875,8163.0498046875,7958.25,7965.35009765625,166200,-0.0195828756200689,-0.0197771607529252,0.1580735550386563,0.0,0.21470647231431642
2015-06-12,7959.85009765625,7995.60009765625,7940.2998046875,7982.89990234375,136600,0.0022032684655837,0.0022008448289133,0.1570368365523031,0.0,0.20212493447532479
2015-06-15,7986.60009765625,8057.7001953125,7944.85009765625,8013.89990234375,133000,0.0038833006024412,0.0038757800540692,0.1482948720657028,0.0,0.09603310875494209
2015-06-16,8004.2001953125,8061.85009765625,7952.35009765625,8047.2998046875,124000,0.0041677463845015,0.0041590853857635,0.1499640938070028,0.0,0.1162906586841505
2015-06-17,8084.2001953125,8136.85009765625,8048.9501953125,8091.5498046875,152500,0.00549873884085,0.005483675969067,0.1489678976862999,0.0,0.10420089723717457
2015-06-18,8113.7001953125,8186.89990234375,8101.7998046875,8174.60009765625,144800,0.0102638301652222,0.0102115147270589,0.1551097907880846,1.0,0.17873845153021062
2015-06-19,8201.150390625,8250.7998046875,8195.650390625,8224.9501953125,147100,0.0061593346530415,0.0061404434830307,0.1560574695860989,1.0,0.19023941038584818
2015-06-22,8259.2998046875,8369.4501953125,8257.400390625,8353.099609375,122700,0.0155805702185933,0.0154604393327622,0.1630014023055392,1.0,0.2745104573586573
2015-06-23,8377.4501953125,8398.4501953125,8334.9501953125,8381.5498046875,131700,0.0034059446963339,0.0034001576033196,0.1628719108959912,1.0,0.2729389593189307
2015-06-24,8399.400390625,8421.349609375,8338.900390625,8360.849609375,130100,-0.0024697336166782,-0.0024727884395158,0.1631391816015852,0.0,0.27618253656767194
2015-06-25,8336.25,8423.150390625,8329.5,8398.0,201200,0.0044433750588388,0.0044335324134881,0.1636333182848967,1.0,0.28217934231634395
2015-06-26,8393.9501953125,8408.5498046875,8339.7001953125,8381.099609375,110600,-0.0020124304149797,-0.0020144580738723,0.1561350116327348,0.0,0.19118045485134652
2015-06-29,8247.0498046875,8329.4501953125,8195.650390625,8318.400390625,132000,-0.0074810253632906,-0.0075091485816652,0.158198919399741,0.0,0.21622788480325209
2015-06-30,8316.349609375,8378.0,8298.9501953125,8368.5,158500,0.0060227456028039,0.0060046813650915,0.1343731632930651,0.0,-0.07291970535228962
